tracker_a,tracker_b,shared_sites
analytics.google.com,id.rlcdn.com,1
play.google.com,s.clarity.ms,1
play.google.com,analytics.twitter.com,1
stats.g.doubleclick.net,us-u.openx.net,1
play.google.com,scripts.clarity.ms,1
stats.g.doubleclick.net,jadserve.postrelease.com,1
stats.g.doubleclick.net,idsync.rlcdn.com,1
analytics.google.com,us-u.openx.net,1
analytics.google.com,idsync.rlcdn.com,1
s.clarity.ms,ad.doubleclick.net,1
play.google.com,dpm.demdex.net,1
play.google.com,www.clarity.ms,1
www.google-analytics.com,id.rlcdn.com,0
play.google.com,us-u.openx.net,0
play.google.com,sync.crwdcntrl.net,0
play.google.com,jadserve.postrelease.com,0
stats.g.doubleclick.net,browser.events.data.microsoft.com,0
play.google.com,id.rlcdn.com,0
play.google.com,browser.events.data.microsoft.com,0
play.google.com,cm.everesttech.net,0
play.google.com,idsync.rlcdn.com,0
analytics.google.com,browser.events.data.microsoft.com,0
play.google.com,dsum-sec.casalemedia.com,0
play.google.com,pixel.rubiconproject.com,0
play.google.com,ib.adnxs.com,0
